timestep,reward
514,0.06
5570,0.04
10286,0.12
14991,0.02
19488,-0.02
24071,-0.18
28563,0.04
33451,0.08
38591,-0.22
43024,0.02
47685,-0.06
51865,-0.04
56728,-0.28
61567,-0.22
66327,-0.04
70740,-0.04
75268,0.12
79716,0.06
84676,-0.04
89569,-0.1
94220,0.08
98796,-0.08
103210,0.06
107866,-0.08
112651,-0.14
117337,-0.14
121958,0.1
126370,0.0
131178,-0.18
135703,-0.14
140167,-0.06
144635,-0.02
148982,0.14
152783,0.0
157272,0.06
161649,-0.06
165719,-0.08
170099,-0.18
174906,-0.02
178992,0.04
183206,0.02
187487,0.06
192048,-0.02
196421,-0.02
201052,0.2
205894,-0.06
209829,-0.28
214051,0.04
218557,0.08
223532,0.02
227487,-0.18
232451,-0.02
237329,0.02
241808,-0.04
246444,0.0
251038,-0.02
255021,-0.06
259631,-0.02
264228,-0.18
268926,0.0
274133,-0.16
278670,0.02
283226,0.02
288178,0.02
292745,0.04
297401,-0.06
301367,0.02
306244,0.0
310766,0.0
315540,0.06
319901,0.0
324017,-0.14
328712,-0.2
333735,-0.06
338377,-0.08
342479,0.12
346871,0.08
351118,0.02
356155,-0.3
361411,-0.08
365900,-0.14
370441,0.0
375012,-0.16
379971,0.12
384462,0.08
389298,0.06
393806,-0.02
397838,0.12
402086,0.16
406492,0.04
411348,-0.02
415931,-0.1
420219,-0.06
425338,0.18
429910,-0.06
434560,-0.16
439150,-0.16
443601,-0.14
448215,0.04
453300,0.1
458012,0.16
462817,-0.08
467280,-0.1
471601,0.14
475978,-0.06
481174,-0.08
485787,-0.08
490346,0.06
495051,-0.18
499717,0.0
503868,0.22
508850,-0.02
512981,0.16
518455,0.22
523339,0.06
527688,0.06
532400,-0.14
536960,0.08
541347,0.08
546383,-0.08
550858,0.0
555249,-0.14
559982,0.1
564598,0.02
568661,-0.06
573083,-0.14
577729,-0.12
582234,-0.08
586784,-0.16
591387,-0.06
596291,-0.12
600811,0.06
605139,-0.04
609499,-0.1
614690,-0.08
619324,-0.32
624190,0.06
629036,0.1
633585,0.12
638019,0.06
642251,-0.16
646752,-0.16
651101,-0.16
655286,0.0
659917,-0.1
664694,-0.02
668791,-0.08
673025,-0.04
677290,-0.02
682051,-0.16
686451,-0.06
691509,0.0
696032,-0.1
700729,0.02
705571,0.04
709730,-0.16
714490,-0.06
719132,-0.22
724125,-0.04
728696,-0.26
733109,-0.04
737700,-0.12
742083,-0.02
747203,0.02
751584,0.0
756236,-0.04
761269,0.0
765634,-0.06
769936,0.08
774501,0.0
778973,0.0
783140,0.06
787602,0.04
792306,-0.26
797002,0.04
802230,0.02
806499,-0.18
811043,0.08
815622,-0.1
819995,-0.08
824755,-0.02
829092,-0.04
833474,-0.16
837796,-0.16
842439,-0.2
847774,0.08
852173,0.02
856472,0.1
860963,-0.22
865721,-0.08
870518,0.06
875360,0.08
879589,0.06
884079,0.04
888421,0.1
892998,0.14
897649,-0.16
902344,-0.16
906659,-0.1
911389,0.0
915995,-0.1
920185,0.02
924382,-0.02
929505,-0.24
933787,-0.14
938727,0.06
943212,0.1
947464,-0.12
951749,-0.18
956344,0.06
961023,0.02
965568,-0.1
970324,0.1
974941,0.06
979569,0.0
984269,-0.08
988406,-0.12
993645,0.04
997795,0.14
1002317,-0.16
1006845,0.0
1011241,0.06
1015940,-0.02
1021066,0.14
1025682,-0.18
1030242,0.04
1034340,-0.14
1039543,0.04
1044593,-0.1
1048802,0.1
1053526,0.22
1058465,0.12
1063062,-0.08
1068231,0.06
1072321,0.12
1076663,-0.2
1081100,-0.12
1085672,-0.06
1089994,-0.1
1094207,-0.08
1098240,-0.14
1102682,-0.08
1107362,0.02
1111796,-0.06
1116787,-0.1
1120915,-0.02
1125498,0.0
1130361,0.06
1135025,0.02
1139449,0.02
1143821,-0.08
1148350,-0.08
1152670,-0.08
1157470,-0.2
1161097,-0.02
1165635,-0.1
1170181,-0.08
1174869,-0.04
1179050,-0.12
1183513,-0.12
1188227,0.12
1192927,-0.08
1197491,-0.04
1201391,0.2
1205785,0.0
1210417,-0.1
1215068,0.0
1218984,-0.08
1223681,-0.1
1228487,-0.18
1233121,0.0
1238072,-0.02
1242875,-0.14
1247061,-0.1
1251267,0.0
1255464,0.06
1259739,0.02
1264797,-0.08
1269282,-0.08
1273845,-0.02
1278238,0.08
1283003,-0.1
1287190,-0.06
1291705,0.1
1296369,-0.04
1301040,0.24
1305826,0.02
1310273,0.02
1315065,-0.04
1319469,0.04
1324060,0.1
1328708,0.04
1333190,-0.08
1337774,-0.04
1341975,-0.02
1346103,-0.18
1350940,-0.06
1355878,-0.18
1360810,-0.02
1365559,-0.06
1370322,-0.06
1374509,-0.1
1379327,0.1
1383702,-0.04
1388277,-0.04
1392988,-0.04
1396971,0.0
1401895,0.04
