timestep,reward
458910,51.975
917060,46.55
1376082,44.55
1830567,47.175
2286196,53.6
2747617,55.75
3207574,55.25
3667640,54.425
4126227,55.3
4580806,54.625
5039018,54.5
5495645,53.925
5954755,57.325
6415586,53.525
6863044,53.675
7323004,56.075
7784037,53.325
8247503,56.45
8713071,55.35
9167952,54.025
9622598,54.075
10078023,55.825
10535492,56.225
10994135,56.575
11452736,56.35
11908481,53.375
12365490,56.65
12824182,54.45
13282775,56.2
13745310,54.825
14206182,54.8
14665298,53.725
15119634,54.2
15574578,55.025
16034987,56.45
16492075,56.4
16949111,56.65
17404601,57.125
17863883,58.125
18319702,55.4
18772840,58.025
19235171,57.875
19691504,56.875
20147345,56.85
20606077,57.05
21060858,55.55
21526211,57.075
21982670,56.05
22437593,57.025
22892807,57.15
