timestep,reward
104,23.675
685401,20.275
1366715,21.675
2050372,22.225
2723585,25.225
3392660,21.9
4074368,22.75
4754759,19.35
5433851,19.85
6108547,21.75
6784974,22.325
7467849,21.2
8148583,19.275
8829025,21.825
9500950,20.675
10182127,23.225
10856898,24.75
11531762,24.725
12209847,22.3
12894796,22.4
13577132,21.675
14254184,17.375
14938136,22.6
15608793,21.45
16287811,20.075
16962963,19.9
17643564,21.65
18315588,19.675
19001148,16.225
19680152,18.775
20369656,17.325
21053461,19.0
21739984,18.1
22416031,21.525
23093875,21.95
23774193,19.85
24458870,17.9
25138804,17.4
25823749,16.525
26507795,18.3
